site,decision,year,tvd,dtot,unsd_twh,ember_twh,chp_share_of_thermal,autoproducer_share,years_compared
IQ,REVIEW|dtot,Y23,0.1062,0.3715,94.45,150.29,0.0,0.001,Y21:tvd=0.074;Y22:tvd=0.217;Y23:tvd=0.106
IR,REVIEW,Y23,0.0774,0.0084,385.24,382.02,0.0,0.018,Y21:tvd=0.053;Y22:tvd=0.077;Y23:tvd=0.077
IS,UNSD,Y23,0.0022,0.0061,20.24,20.12,1132.346,0.0,Y21:tvd=0.004;Y22:tvd=0.004;Y23:tvd=0.002
IT,UNSD,Y23,0.0057,0.0064,263.17,261.5,0.592,0.203,Y21:tvd=0.005;Y22:tvd=0.006;Y23:tvd=0.006
JM,REVIEW,Y22,0.0928,0.1459,5.14,4.49,0.0,0.193,Y21:tvd=0.032;Y22:tvd=0.093
JO,REVIEW,Y22,0.0659,0.0684,24.11,22.57,0.0,0.15,Y21:tvd=0.019;Y22:tvd=0.066
JP,REVIEW,Y23,0.072,0.0138,992.81,1006.73,0.0,0.169,Y21:tvd=0.081;Y22:tvd=0.075;Y23:tvd=0.072
KE,UNSD,Y23,0.0067,0.0068,12.7,12.79,0.0,0.018,Y21:tvd=0.001;Y22:tvd=0.004;Y23:tvd=0.007
KG,UNSD,Y23,0.019,0.0079,13.84,13.73,0.989,0.001,Y21:tvd=0.019;Y22:tvd=0.002;Y23:tvd=0.019
KH,UNSD,Y23,0.0417,0.0574,14.56,13.77,0.0,0.001,Y21:tvd=0.008;Y22:tvd=0.001;Y23:tvd=0.042
KI,REVIEW,Y22,0.1165,0.045,0.04,0.04,0.0,0.06,Y21:tvd=0.118;Y22:tvd=0.116
